order_details_id,order_id,order_date,order_time,item_id,Hour
1,1,01-01-2023,11:38:36 AM,109,11
2,2,01-01-2023,11:57:40 AM,108,11
3,2,01-01-2023,11:57:40 AM,124,11
4,2,01-01-2023,11:57:40 AM,117,11
5,2,01-01-2023,11:57:40 AM,129,11
6,2,01-01-2023,11:57:40 AM,106,11
7,3,01-01-2023,12:12:28 PM,117,12
8,3,01-01-2023,12:12:28 PM,119,12
9,4,01-01-2023,12:16:31 PM,117,12
10,5,01-01-2023,12:21:30 PM,117,12
11,6,01-01-2023,12:29:36 PM,101,12
12,6,01-01-2023,12:29:36 PM,114,12
13,7,01-01-2023,12:50:37 PM,123,12
14,8,01-01-2023,12:51:37 PM,123,12
15,9,01-01-2023,12:52:01 PM,108,12
16,9,01-01-2023,12:52:01 PM,126,12
17,9,01-01-2023,12:52:01 PM,110,12
18,9,01-01-2023,12:52:01 PM,117,12
19,9,01-01-2023,12:52:01 PM,117,12
20,9,01-01-2023,12:52:01 PM,129,12
21,9,01-01-2023,12:52:01 PM,122,12
22,9,01-01-2023,12:52:01 PM,130,12
23,9,01-01-2023,12:52:01 PM,132,12
24,10,01-01-2023,1:00:15 PM,129,13
25,10,01-01-2023,1:00:15 PM,105,13
26,11,01-01-2023,1:02:59 PM,101,13
27,11,01-01-2023,1:02:59 PM,102,13
28,11,01-01-2023,1:02:59 PM,102,13
29,11,01-01-2023,1:02:59 PM,113,13
30,12,01-01-2023,1:04:41 PM,102,13
31,12,01-01-2023,1:04:41 PM,102,13
32,12,01-01-2023,1:04:41 PM,104,13
33,12,01-01-2023,1:04:41 PM,117,13
34,13,01-01-2023,1:11:55 PM,129,13
35,14,01-01-2023,1:14:19 PM,114,13
36,15,01-01-2023,1:33:00 PM,107,13
37,15,01-01-2023,1:33:00 PM,124,13
38,15,01-01-2023,1:33:00 PM,121,13
39,15,01-01-2023,1:33:00 PM,114,13
40,16,01-01-2023,1:34:07 PM,125,13
41,16,01-01-2023,1:34:07 PM,111,13
42,16,01-01-2023,1:34:07 PM,106,13
43,17,01-01-2023,1:53:00 PM,101,13
44,17,01-01-2023,1:53:00 PM,116,13
45,17,01-01-2023,1:53:00 PM,124,13
46,17,01-01-2023,1:53:00 PM,125,13
47,17,01-01-2023,1:53:00 PM,117,13
48,17,01-01-2023,1:53:00 PM,127,13
49,17,01-01-2023,1:53:00 PM,128,13
50,17,01-01-2023,1:53:00 PM,129,13
51,17,01-01-2023,1:53:00 PM,118,13
52,17,01-01-2023,1:53:00 PM,131,13
53,18,01-01-2023,1:57:08 PM,111,13
54,19,01-01-2023,1:59:09 PM,110,13
55,19,01-01-2023,1:59:09 PM,120,13
56,20,01-01-2023,2:03:08 PM,107,14
57,20,01-01-2023,2:03:08 PM,124,14
58,21,01-01-2023,2:14:29 PM,110,14
59,22,01-01-2023,2:16:26 PM,124,14
60,22,01-01-2023,2:16:26 PM,110,14
61,22,01-01-2023,2:16:26 PM,105,14
62,23,01-01-2023,2:19:03 PM,105,14
63,24,01-01-2023,2:23:01 PM,101,14
64,24,01-01-2023,2:23:01 PM,110,14
65,24,01-01-2023,2:23:01 PM,113,14
66,24,01-01-2023,2:23:01 PM,119,14
67,25,01-01-2023,2:44:44 PM,120,14
68,25,01-01-2023,2:44:44 PM,106,14
69,26,01-01-2023,2:54:26 PM,108,14
70,26,01-01-2023,2:54:26 PM,132,14
71,27,01-01-2023,3:11:17 PM,101,15
72,27,01-01-2023,3:11:17 PM,108,15
73,27,01-01-2023,3:11:17 PM,131,15
74,28,01-01-2023,3:35:46 PM,103,15
75,29,01-01-2023,3:41:01 PM,126,15
76,30,01-01-2023,3:41:25 PM,106,15
77,31,01-01-2023,3:50:18 PM,129,15
78,31,01-01-2023,3:50:18 PM,113,15
79,32,01-01-2023,3:53:18 PM,107,15
80,32,01-01-2023,3:53:18 PM,126,15
81,32,01-01-2023,3:53:18 PM,110,15
82,32,01-01-2023,3:53:18 PM,117,15
83,33,01-01-2023,3:54:08 PM,101,15
84,33,01-01-2023,3:54:08 PM,126,15
85,34,01-01-2023,4:21:21 PM,114,16
86,35,01-01-2023,4:32:04 PM,126,16
87,35,01-01-2023,4:32:04 PM,112,16
88,35,01-01-2023,4:32:04 PM,113,16
89,35,01-01-2023,4:32:04 PM,106,16
90,36,01-01-2023,4:54:09 PM,101,16
91,36,01-01-2023,4:54:09 PM,108,16
92,37,01-01-2023,4:56:09 PM,117,16
93,37,01-01-2023,4:56:09 PM,129,16
94,38,01-01-2023,5:03:00 PM,109,17
95,38,01-01-2023,5:03:00 PM,110,17
96,39,01-01-2023,5:07:23 PM,117,17
97,40,01-01-2023,5:14:36 PM,125,17
98,40,01-01-2023,5:14:36 PM,105,17
99,41,01-01-2023,5:15:20 PM,125,17
100,41,01-01-2023,5:15:20 PM,126,17
101,42,01-01-2023,5:28:09 PM,107,17
102,42,01-01-2023,5:28:09 PM,124,17
103,42,01-01-2023,5:28:09 PM,129,17
104,42,01-01-2023,5:28:09 PM,118,17
105,43,01-01-2023,5:38:34 PM,103,17
106,43,01-01-2023,5:38:34 PM,117,17
107,43,01-01-2023,5:38:34 PM,118,17
108,44,01-01-2023,5:54:20 PM,130,17
109,45,01-01-2023,5:55:48 PM,125,17
110,45,01-01-2023,5:55:48 PM,109,17
111,45,01-01-2023,5:55:48 PM,106,17
112,46,01-01-2023,6:25:51 PM,104,18
113,46,01-01-2023,6:25:51 PM,108,18
114,46,01-01-2023,6:25:51 PM,106,18
115,47,01-01-2023,6:26:34 PM,105,18
116,47,01-01-2023,6:26:34 PM,132,18
117,48,01-01-2023,6:26:42 PM,104,18
118,48,01-01-2023,6:26:42 PM,126,18
119,48,01-01-2023,6:26:42 PM,119,18
120,48,01-01-2023,6:26:42 PM,122,18
121,49,01-01-2023,6:33:00 PM,120,18
122,50,01-01-2023,6:41:01 PM,107,18
123,51,01-01-2023,6:48:28 PM,108,18
124,51,01-01-2023,6:48:28 PM,109,18
125,52,01-01-2023,6:53:02 PM,110,18
126,52,01-01-2023,6:53:02 PM,111,18
127,52,01-01-2023,6:53:02 PM,112,18
128,53,01-01-2023,6:54:17 PM,113,18
129,53,01-01-2023,6:54:17 PM,114,18
130,54,01-01-2023,7:01:45 PM,107,19
131,54,01-01-2023,7:01:45 PM,108,19
132,55,01-01-2023,7:03:19 PM,109,19
133,55,01-01-2023,7:03:19 PM,110,19
134,56,01-01-2023,7:07:00 PM,111,19
135,56,01-01-2023,7:07:00 PM,112,19
136,56,01-01-2023,7:07:00 PM,113,19
137,57,01-01-2023,7:10:51 PM,114,19
138,58,01-01-2023,7:30:40 PM,107,19
139,58,01-01-2023,7:30:40 PM,108,19
140,59,01-01-2023,7:40:08 PM,109,19
141,59,01-01-2023,7:40:08 PM,110,19
142,59,01-01-2023,7:40:08 PM,111,19
143,60,01-01-2023,8:05:16 PM,112,20
144,60,01-01-2023,8:05:16 PM,113,20
145,61,01-01-2023,8:08:43 PM,114,20
146,61,01-01-2023,8:08:43 PM,107,20
147,62,01-01-2023,8:50:16 PM,108,20
148,62,01-01-2023,8:50:16 PM,109,20
149,63,01-01-2023,8:51:42 PM,110,20
150,64,01-01-2023,8:52:08 PM,111,20
151,65,01-01-2023,9:16:00 PM,112,21
152,65,01-01-2023,9:16:00 PM,113,21
153,65,01-01-2023,9:16:00 PM,114,21
154,65,01-01-2023,9:16:00 PM,107,21
155,66,01-01-2023,9:47:55 PM,108,21
156,66,01-01-2023,9:47:55 PM,109,21
157,67,01-01-2023,10:03:40 PM,110,22
158,68,01-01-2023,10:07:32 PM,111,22
159,68,01-01-2023,10:07:32 PM,112,22
160,68,01-01-2023,10:07:32 PM,113,22
161,69,01-01-2023,10:12:13 PM,114,22
162,70,02-01-2023,11:38:51 AM,107,11
163,70,02-01-2023,11:38:51 AM,108,11
164,71,02-01-2023,11:40:50 AM,109,11
165,72,02-01-2023,11:57:25 AM,110,11
166,73,02-01-2023,11:58:56 AM,111,11
167,74,02-01-2023,12:01:12 PM,112,12
168,74,02-01-2023,12:01:12 PM,113,12
169,74,02-01-2023,12:01:12 PM,114,12
170,74,02-01-2023,12:01:12 PM,107,12
171,75,02-01-2023,12:10:15 PM,108,12
172,75,02-01-2023,12:10:15 PM,109,12
173,75,02-01-2023,12:10:15 PM,110,12
174,76,02-01-2023,12:21:17 PM,111,12
175,76,02-01-2023,12:21:17 PM,112,12
176,76,02-01-2023,12:21:17 PM,113,12
177,76,02-01-2023,12:21:17 PM,114,12
178,77,02-01-2023,12:22:46 PM,107,12
179,77,02-01-2023,12:22:46 PM,108,12
180,78,02-01-2023,12:28:14 PM,109,12
181,78,02-01-2023,12:28:14 PM,110,12
182,78,02-01-2023,12:28:14 PM,111,12
183,78,02-01-2023,12:28:14 PM,112,12
184,78,02-01-2023,12:28:14 PM,113,12
185,78,02-01-2023,12:28:14 PM,114,12
186,79,02-01-2023,12:29:11 PM,107,12
187,79,02-01-2023,12:29:11 PM,108,12
188,79,02-01-2023,12:29:11 PM,109,12
